key,topic,short_answer,next_action
price,Какая цена,Цены пока не опубликованы,Зафиксировать бюджет и сообщить после публикации
layouts,Какие планировки,Планировки пока не опубликованы,Уточнить комнатность и отправить после появления
official,Это официальный сайт,Это информационный сайт агентства,Не заявлять официальный статус
booking,Можно забронировать,Предварительная заявка не является бронью,Зафиксировать интерес
mortgage,Можно купить в ипотеку,Ипотеку можно готовить заранее,Передать на ипотечную консультацию
deadline,Когда сдача,Сроки нужно смотреть по документам,Сообщить после подтверждения
documents,Где документы,Документы будут добавлены после появления,Поставить клиента на обновление
finish,Что входит в отделку,Состав отделки нужно уточнять по спецификации,Вернуться после публикации данных
boiler,Что значит своя котельная,Нужно уточнять обслуживание и оплату,Зафиксировать технический вопрос
phone,Зачем телефон,Телефон нужен для раннего информирования,Объяснить заявку без обязательств
